State,Postal,Democratic,Libertarian,Republican,Winner
North Carolina,NC,46.17286617,2.744368736,49.8280947,Republican
Missouri,MO,37.87807147,3.443078461,56.3895118,Republican
Vermont,VT,56.67778599,3.198684724,30.26943476,Democratic
North Dakota,ND,27.22673946,6.224300151,62.95562783,Republican
Texas,TX,43.23525798,3.160718662,52.23468558,Republican
Connecticut,CT,54.5663011,2.959171267,40.92691438,Democratic
Kansas,KS,35.73996342,4.637436127,56.16364861,Republican
Florida,FL,47.41271933,2.179029106,48.6010539,Republican
Wyoming,WY,21.87735735,5.193297609,68.17263308,Republican
Pennsylvania,PA,47.45548192,2.379146215,48.17372575,Republican
Illinois,IL,55.24663861,3.746518853,38.35991935,Democratic
Oregon,OR,50.071852,4.708404786,39.09403518,Democratic
Utah,UT,27.16646803,3.46344573,45.05338838,Republican
Tennessee,TN,34.7163328,2.806867709,60.72203369,Republican
Michigan,MI,47.02978281,3.568132729,47.25166139,Republican
Rhode Island,RI,54.40660657,3.177031266,38.8980575,Democratic
Idaho,ID,27.48492613,4.103367018,59.24615423,Republican
Arkansas,AR,33.65312413,2.638251956,60.57410216,Republican
Wisconsin,WI,46.45384137,3.584295146,47.21818457,Republican
New Mexico,NM,48.25564718,9.337244886,40.04251433,Democratic
District of Columbia,,90.86382153,1.57613375,4.087474459,Democratic
Maryland,MD,60.32574424,2.862000557,33.90930473,Democratic
Washington,WA,52.53904436,4.850141514,36.83293558,Democratic
West Virginia,WV,26.17663412,3.189546761,67.85218605,Republican
Nevada,NV,47.91782368,3.321885399,45.50069532,Democratic
Alaska,AK,36.55087129,5.877128007,51.28151208,Republican
Louisiana,LA,38.4495661,1.871729968,58.08868465,Republican
Indiana,IN,37.46158209,4.858642381,56.46784353,Republican
South Dakota,SD,31.73742816,5.633719092,61.53075038,Republican
Montana,MT,35.41275592,5.587040823,55.64522879,Republican
Mississippi,MS,40.05745247,1.191903479,57.85822335,Republican
Massachusetts,MA,60.00506459,4.150859868,32.80835814,Democratic
New Hampshire,NH,46.82626267,4.135048422,46.45866698,Democratic
Colorado,CO,48.15651271,5.183748063,43.25097734,Democratic
Hawaii,HI,62.22149173,3.719427328,30.03867701,Democratic
Iowa,IA,41.74048917,3.779363244,51.14732722,Republican
Arizona,AZ,44.58041884,4.082188173,48.08314492,Republican
Ohio,OH,43.24305774,3.151758647,51.31383784,Republican
New York,NY,59.00604459,2.287108398,36.51558845,Democratic
Alabama,AL,34.35794576,2.094169086,62.08309236,Republican
Oklahoma,OK,28.93168028,5.745454896,65.32286482,Republican
South Carolina,SC,40.67341979,2.339675144,54.93933269,Republican
Kentucky,KY,32.68218833,2.793546654,62.51963855,Republican
Virginia,VA,49.75135283,2.969655153,44.42764701,Democratic
Georgia,GA,45.34559797,3.025658919,50.44384267,Republican
Maine,ME,47.83020268,5.094748552,44.86975333,Democratic
Delaware,DE,53.08597746,3.325041571,41.71274453,Democratic
New Jersey,NJ,54.98925826,1.855186559,41.00451964,Democratic
California,CA,61.48236634,3.360752202,31.49210936,Democratic
Minnesota,MN,46.44199627,3.836165084,44.92792251,Democratic
Nebraska,NE,33.69875638,4.613214218,58.74735113,Republican