state,mask,lockdown,start,end
Alabama,yes,yes,4/4/20,4/30/20
Alaska,no,yes,3/28/20,
Arizona,no,yes,3/31/20,5/15/20
Arkansas,yes,no,,
California,yes,yes,3/19/20,
Colorado,yes,yes,3/26/20,4/26/20
Delaware,yes,yes,3/24/20,5/31/20
Florida,no,yes,4/2/20,5/4/20
Georgia,no,yes,4/3/20,4/30/20
Hawaii,yes,yes,3/25/20,
Idaho,no,yes,3/25/20,4/30/20
Illinois,yes,yes,3/24/20,5/29/20
Indiana,yes,yes,3/24/20,5/1/20
Iowa,no,no,,
Kansas,yes,yes,3/30/20,5/3/20
Kentucky,yes,yes,3/26/20,6/29/20
Louisiana,yes,yes,3/23/20,5/15/20
Maine,yes,yes,4/2/20,5/31/20
Maryland,yes,yes,3/30/20,5/15/20
Massachusetts,yes,yes,3/24/20,5/18/20
Michigan,yes,yes,3/24/20,6/1/20
Minnesota,yes,yes,3/27/20,5/17/20
Mississippi,no,yes,4/3/20,4/27/20
Missouri,no,yes,4/6/20,5/3/20
Montana,yes,yes,3/28/20,4/26/20
Nebraska,no,no,,
Nevada,no,yes,4/1/20,5/15/20
New Hampshire,no,yes,3/27/20,6/15/20
New Jersey,yes,yes,3/21/20,6/9/20
New Mexico,yes,yes,3/24/20,11/13/20
New York,yes,yes,3/20/20,6/27/20
North Carolina,yes,yes,3/30/20,5/22/20
North Dakota,no,no,,
Ohio,yes,yes,3/23/20,5/19/20
Oklahoma,no,yes,4/1/20,5/6/20
Oregon,yes,yes,3/23/20,6/19/20
Pennsylvania,yes,yes,4/1/20,6/4/20
Rhode Island,yes,yes,3/28/20,5/8/20
South Carolina,no,yes,4/7/20,5/4/20
South Dakota,no,no,,
Tennessee,no,yes,3/31/20,4/30/20
Texas,yes,yes,4/2/20,4/30/20
Utah,no,no,,
Vermont,yes,yes,3/24/20,5/15/20
Virginia,yes,yes,3/30/20,5/29/20
Washington,yes,yes,3/24/20,5/31/20
West Virginia,yes,yes,3/24/20,5/4/20
Wicsonsin,yes,yes,3/25/20,5/13/20
Wyoming,no,no,,